Name,Description,Database Query,Tracked?,dunga-dunga,Comment on tracking of data,Comment on implementation
Adventuring,,,,,,
Addicted,Most Runs incl Refunds,,TRUE,FALSE,,
Citadel Conquerer,First to beat DO,,FALSE,FALSE,Either manual or tracked when method to 'win' implemented,
Respiration 3,Most TNT dive successes,,FALSE,FALSE,"'reached top' only tracked on first success, but technically could track by checking 'reached bottom' and if died by drowning in TNT dive",
DM's Master,Most lackey runs,,FALSE,FALSE,Either manual or tracked when method for lackey runs implemented,
Eggselent Eggsplorer,Most Eggs,,TRUE,FALSE,,
Rustiest ally,most rusty repairs,,TRUE,FALSE,,
Deep diver,Highest rate of runs deeper than artefact location,,TRUE,FALSE,Would need to track movement between regions in count if we wanted to use player location rather than level unlocks,
Clink clank Clunk,Highest rate of runs at max clank,,TRUE,FALSE,,
Sneak master,Lowest rate of runs at max clank,,TRUE,FALSE,,
Halloween Enthusiast,Most trick or treats,,TRUE,FALSE,,
,,,,,,
Surviving,,,,,,
Technically the winner,most wins,,TRUE,TRUE,do2.wins,
Elite Entrance,most wins before the first loss,,TRUE,TRUE,"for each player, find all events, then look up the claim for that event to get the run type. filter for comp runs. Then find their first loss, then count wins before that loss. then find player with most wins before first loss!!",
Momentum Master,longest win streak,,TRUE,TRUE,do2.win_streak,
Back for seconds,most gauntlet wins,,TRUE,TRUE,do2.gauntlet_survival scoreboard values are not present in the DB,
The real DM,highest win rate,,TRUE,FALSE,,
vex the vex,highest success rate at max clank,,TRUE,FALSE,what scoreboards do we use to track this?,
Mummy,Most L1 wins,,TRUE,FALSE,,
Spelunker,Most L2 wins,,TRUE,FALSE,,
Twinkletoes,Most L3 wins,,TRUE,FALSE,,
Tryhard,Most L4 wins,,TRUE,FALSE,,
,,,,,,
Artifacts,,,,,,
Death loop loop,"most death loops found, regardless of outcome",,TRUE,FALSE,,
Key to success,First to escape with the DM key,,TRUE,FALSE,,
Omen of Success,Artefact with highest success chance,,TRUE,FALSE,Hermit winner,
"Well, aren't you popular",Artefact found most times,,TRUE,FALSE,Hermit winner,
Sanctioned Forgery,Most artifaked artefact,,TRUE,FALSE,,
Omen of Defeat,Artefact with lowest success chance,,TRUE,FALSE,Hermit winner,
Never forget,Artefact that was forgotten least times,,TRUE,FALSE,Hermit winner,
Sparse-ifake,Artifake with lowest number made,,TRUE,FALSE,Hermit winner,
Compass School Valedictorian,Most improved compass skills,,TRUE,FALSE,Scar winner,
Homing pigeon,most visits to the same lodestone,,TRUE,FALSE,,
,,,,,,
Embers,,,,,,
Frost Ember Farmer,Most total embers in a single run,,TRUE,FALSE,,
I don't like getting shards,Most lifetime embers,,TRUE,FALSE,,
Hyperfocus,Highest embers without picking up any floor embers,,TRUE,FALSE,,
Hunter gatherer,most floor embers in a single run,,TRUE,FALSE,,
"Optimised spending, >1750","Lowest % embers wasted, total escaped embers over 1750",,TRUE,FALSE,,
"Optimised spending, <1750","Lowest % embers wasted, total escaped embers under 1750",,TRUE,FALSE,,
"(optimised spending, Beef)","Lowest % embers wasted, total escaped embers Beefs total",,TRUE,FALSE,,Don't know if we will keep these
"(optimised spending, Mumbo)","Lowest % embers wasted, total escaped embers Mumbos total",,TRUE,FALSE,,Don't know if we will keep these
,,,,,,
Dying,,,,,,
Humble beginnings,Most deaths before your first win,,TRUE,FALSE,,
Glutton for the grave,Most deaths,,TRUE,FALSE,,
Participation trophy,Lowest success rate,,TRUE,FALSE,,
Momentum disaster,Longest losing streak,,TRUE,FALSE,,
Ravager Cuddler,Most ravager deaths,,TRUE,FALSE,,Exclude death room ravager
Vexing Vex,Lowest success rate at max clank,,TRUE,FALSE,,
Warden hugger,Most warden deaths,,TRUE,FALSE,,
Ravager almost wrangler,Become 'friends' with most unique ravagers,,TRUE,FALSE,,
Selective dying,"Most deaths to mobs !=Ravagers, max clank, wardens, Willie",,TRUE,FALSE,,
Vex Fanatic,"Most deaths to max clank mobs (evokers, vex)",,TRUE,FALSE,,
Dungeon dinner,Most deaths to the dungeon itself,,TRUE,FALSE,,All non mob deaths? Exclude fall damage after the shop? Include coward's path?
Unfocused Sleeping,Most deaths to mr One Eye,,TRUE,FALSE,,
Dungeon delicacy,Favourite snack of most murderers,,TRUE,FALSE,,
Free samples,Tasted by most Murderers,,TRUE,FALSE,,
